Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
F-Stat,1.0,0.9779729843139648,0.9779729843139648,0.9430065155029297,0.8255949020385742,0.1558971405029297,4.76837158203125e-06
Info Gain,0.0,1.0,0.8413447460685429,0.3780832290649414,0.1471261978149414,0.031861305236816406,6.67572021484375e-06
Info Gain(no_early_abandon),0.0,0.0,1.0,0.3780832290649414,0.1471261978149414,0.031861305236816406,6.67572021484375e-06
Kolmogorov,0.0,0.0,0.0,1.0,0.08842658996582031,0.005344390869140625,0.0005083084106445312
Kruskal Wallis,0.0,0.0,0.0,0.0,1.0,0.031861305236816406,1.9073486328125e-06
Moods Median,0.0,0.0,0.0,0.0,0.0,1.0,0.004154205322265625
Wasserstein,0.0,0.0,0.0,0.0,0.0,0.0,1.0
