testAccuracy,Kolmogorov,STC,RSTC(KW),RSTC(MM),RSTC(f_Stat),RSTC(Wasser),RSTC(Wasser_emp)
testAccuraasdasdaacyMean,0.8569115235337450,0.8566233796161160,0.8556091886289530,0.8549339155268020,0.8530066379514150,0.8348267921567470,0.831162654050021
testAccuracyAvgRank,3.032258064516130,3.2688172043010800,3.5591397849462400,3.586021505376340,3.978494623655910,5.10752688172043,5.467741935483870
,,,,,,,
testBalAcc,Kolmogorov,STC,RSTC(KW),RSTC(MM),RSTC(f_Stat),RSTC(Wasser),RSTC(Wasser_emp)
testBalAccMean,0.8384301375563720,0.838180898884806,0.8364619809884840,0.8348089442437110,0.8343066234078810,0.8149810062426920,0.8123782906049890
testBalAccAvgRank,3.032258064516130,3.247311827956990,3.5806451612903200,3.7096774193548400,3.946236559139790,5.193548387096770,5.290322580645160
,,,,,,,
testAUROC,Kolmogorov,STC,RSTC(KW),RSTC(MM),RSTC(f_Stat),RSTC(Wasser),RSTC(Wasser_emp)
testAUROCMean,0.9549664973403230,0.954218917752268,0.9543920161586020,0.954249975132049,0.9533504059465620,0.9430026090916180,0.941759589264573
testAUROCAvgRank,2.8763440860215100,3.338709677419360,3.370967741935480,3.6021505376344100,3.8333333333333300,5.381720430107530,5.596774193548390
,,,,,,,
testLogLoss,Kolmogorov,STC,RSTC(KW),RSTC(f_Stat),RSTC(MM),RSTC(Wasser),RSTC(Wasser_emp)
testLogLossMean,0.48250802046965,0.480345868990741,0.48820081233597600,0.48207145329453200,0.4914736371412600,0.5480608644909880,0.5582103258514360
testLogLossAvgRank,2.967741935483870,3.086021505376340,3.5806451612903200,3.752688172043010,4.043010752688170,5.139784946236560,5.43010752688172
,,,,,,,
testF1,Kolmogorov,STC,RSTC(KW),RSTC(MM),RSTC(f_Stat),RSTC(Wasser),RSTC(Wasser_emp)
testF1Mean,0.8534120237072210,0.8528851414853600,0.8517891797519650,0.8514133273808600,0.8496826916228990,0.8309969136178800,0.8274035982648780
testF1AvgRank,3.0698924731182800,3.317204301075270,3.5913978494623700,3.618279569892470,3.924731182795700,5.112903225806450,5.365591397849460
,,,,,,,
testFitTime,RSTC(Wasser_emp),RSTC(Wasser),RSTC(f_Stat),Kolmogorov,RSTC(MM),STC,RSTC(KW)
testFitTimeMean,740557.8494623660,721595.0913978500,751486.4462365590,750739.2096774190,746019.0537634410,4344997.731182800,3613992.61827957
testFitTimeAvgRank,2.161290322580650,2.7096774193548400,3.043010752688170,3.924731182795700,4.333333333333330,4.870967741935480,6.956989247311830
,,,,,,,
testPredictTime,RSTC(Wasser),RSTC(Wasser_emp),STC,RSTC(f_Stat),Kolmogorov,RSTC(KW),RSTC(MM)
testPredictTimeMean,55921.91935483870,57193.3064516129,60009.20430107530,62447.1129032258,64718.5376344086,66586.89247311830,65743.5
testPredictTimeAvgRank,2.118279569892470,2.838709677419360,3.161290322580650,4.118279569892470,4.838709677419360,4.967741935483870,5.956989247311830
,,,,,,,
testMemoryUsage,RSTC(Wasser_emp),RSTC(Wasser),STC,RSTC(KW),Kolmogorov,RSTC(f_Stat),RSTC(MM)
testMemoryUsageMean,80360657.20430110,81041452.04301080,83788943.13978500,77745955.78494620,85445180.55913980,85247669.67741940,89154372.8172043
testMemoryUsageAvgRank,2.5,2.725806451612900,3.774193548387100,4.10752688172043,4.365591397849460,4.817204301075270,5.709677419354840
