Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
F-Stat,1.0,0.7611775328747068,0.7611775328747068,0.8340841959536556,0.9510053486460412,0.5094417045583245,0.013928549007653394
Info Gain,0.0,1.0,1.0,0.649648293874159,0.6027208591549443,0.45881579673350437,0.008411020336437779
Info Gain(no_early_abandon),0.0,0.0,1.0,0.649648293874159,0.6027208591549443,0.45881579673350437,0.008411020336437779
Kolmogorov,0.0,0.0,0.0,1.0,0.3437044346894548,0.2967636302800336,0.0024266154256897634
Kruskal Wallis,0.0,0.0,0.0,0.0,1.0,0.23609454208893987,0.00990455484498572
Moods Median,0.0,0.0,0.0,0.0,0.0,1.0,0.005421849027595954
Wasserstein,0.0,0.0,0.0,0.0,0.0,0.0,1.0
