Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,2.0,4.0,3.0,6.0,1.0,7.0,5.0
Adiac,5.0,4.0,2.0,3.0,6.0,7.0,1.0
ArrowHead,6.0,4.0,2.0,3.0,5.0,7.0,1.0
BME,6.0,3.0,2.0,4.0,5.0,7.0,1.0
Beef,6.0,3.0,2.0,4.0,5.0,7.0,1.0
BeetleFly,6.0,5.0,4.0,3.0,2.0,7.0,1.0
BirdChicken,7.0,5.0,2.0,4.0,3.0,6.0,1.0
CBF,6.0,3.0,2.0,4.0,5.0,7.0,1.0
Car,7.0,3.0,2.0,4.0,5.0,6.0,1.0
ChlorineConcentration,7.0,2.0,3.0,5.0,4.0,6.0,1.0
CinCECGTorso,2.0,3.0,4.0,5.0,6.0,7.0,1.0
Coffee,5.0,4.0,3.0,2.0,1.0,7.0,6.0
Computers,1.0,6.0,5.0,7.0,2.0,4.0,3.0
CricketX,5.0,3.0,2.0,4.0,6.0,7.0,1.0
CricketY,5.0,3.0,2.0,4.0,7.0,6.0,1.0
CricketZ,5.0,3.0,2.0,4.0,7.0,6.0,1.0
Crop,4.0,6.0,2.0,3.0,1.0,7.0,5.0
DistalPhalanxOutlineAgeGroup,4.0,6.0,7.0,5.0,3.0,1.0,2.0
DistalPhalanxOutlineCorrect,6.0,3.0,2.0,4.0,5.0,7.0,1.0
DistalPhalanxTW,2.0,6.0,7.0,5.0,1.0,4.0,3.0
ECG200,7.0,3.0,2.0,4.0,5.0,6.0,1.0
ECG5000,5.0,2.0,3.0,1.0,6.0,7.0,4.0
ECGFiveDays,6.0,4.0,3.0,5.0,2.0,7.0,1.0
EOGHorizontalSignal,4.0,3.0,2.0,5.0,6.0,7.0,1.0
EOGVerticalSignal,3.0,1.5,1.5,7.0,4.0,5.0,6.0
EthanolLevel,5.0,7.0,6.0,4.0,3.0,2.0,1.0
FaceAll,4.0,3.0,2.0,5.0,6.0,7.0,1.0
FacesUCR,4.0,3.0,2.0,5.0,6.0,7.0,1.0
Fish,5.0,2.0,1.0,4.0,6.0,7.0,3.0
FordA,5.0,7.0,4.0,2.0,1.0,3.0,6.0
FordB,3.0,4.0,7.0,2.0,1.0,6.0,5.0
FreezerRegularTrain,7.0,4.0,3.0,2.0,6.0,5.0,1.0
FreezerSmallTrain,7.0,4.0,3.0,5.0,2.0,6.0,1.0
GunPoint,7.0,3.0,2.0,4.0,5.0,6.0,1.0
GunPointAgeSpan,6.0,3.0,2.0,4.0,5.0,7.0,1.0
GunPointMaleVersusFemale,7.0,4.0,3.0,5.0,2.0,6.0,1.0
GunPointOldVersusYoung,3.0,4.0,2.0,5.0,6.0,7.0,1.0
Ham,6.0,4.0,3.0,5.0,1.0,7.0,2.0
HandOutlines,2.0,6.0,7.0,5.0,4.0,1.0,3.0
Haptics,7.0,4.0,3.0,2.0,5.0,6.0,1.0
Herring,7.0,5.0,3.0,2.0,4.0,6.0,1.0
InlineSkate,7.0,3.0,2.0,4.0,5.0,6.0,1.0
InsectEPGRegularTrain,7.0,3.0,2.0,4.0,5.0,6.0,1.0
InsectWingbeatSound,5.0,4.0,2.0,3.0,6.0,7.0,1.0
ItalyPowerDemand,5.0,3.0,1.0,6.0,2.0,4.0,7.0
LargeKitchenAppliances,4.0,6.0,5.0,2.0,7.0,3.0,1.0
Mallat,1.0,3.0,4.0,5.0,6.0,7.0,2.0
Meat,6.0,3.0,2.0,5.0,1.0,7.0,4.0
MedicalImages,5.0,4.0,3.0,1.0,7.0,6.0,2.0
MiddlePhalanxOutlineAgeGroup,3.0,5.0,6.0,7.0,2.0,1.0,4.0
MiddlePhalanxOutlineCorrect,7.0,2.0,1.0,4.0,5.0,6.0,3.0
MiddlePhalanxTW,1.0,6.0,5.0,3.0,2.0,7.0,4.0
MixedShapesRegularTrain,5.0,3.0,4.0,6.0,1.0,7.0,2.0
