Experiment,Runtime
ACSF1Experiment,79.032
AdiacExperiment,299.404
ArrowHeadExperiment,15.704000000000000
BMEExperiment,11.542
BeefExperiment,15.294
BeetleFlyExperiment,14.692000000000000
BirdChickenExperiment,13.252
CBFExperiment,12.894
CarExperiment,17.604
ToeSegmentation1Experiment,14.374
ToeSegmentation2Experiment,11.662
TraceExperiment,20.994
TwoLeadECGExperiment,11.042
UWaveGestureLibraryZExperiment,809.286
WaferExperiment,307.626
WineExperiment,17.036
WordSynonymsExperiment,134.30600000000000
WormsExperiment,119.63600000000000
WormsTwoClassExperiment,114.506
YogaExperiment,173.152
Kolmogorov 2k,110.6519
