Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,52942848.0,58157056.0,39792640.0,38047744.0,37486592.0,44859392.0,44474368.0
Adiac,101971968.0,106299392.0,88483840.0,89020416.0,96450560.0,99880960.0,92745728.0
ArrowHead,34228224.0,52346880.0,21149696.0,22120448.0,22118400.0,26685440.0,28669952.0
BME,23535616.0,19927040.0,19894272.0,20555776.0,20072448.0,21057536.0,17598464.0
Beef,34469888.0,49457152.0,24420352.0,26343424.0,24903680.0,27586560.0,27932672.0
BeetleFly,33736704.0,52826112.0,21180416.0,21282816.0,26540032.0,33093632.0,26357760.0
BirdChicken,24078336.0,50765824.0,20367360.0,20553728.0,30838784.0,32925696.0,25323520.0
CBF,19947520.0,18466816.0,18288640.0,18243584.0,18278400.0,20398080.0,17854464.0
Car,29227008.0,25974784.0,25765888.0,25227264.0,26621952.0,26314752.0,22796288.0
ToeSegmentation1,26888192.0,27348992.0,27373568.0,26992640.0,27629568.0,27287552.0,20211712.0
ToeSegmentation2,25550848.0,24721408.0,24559616.0,25288704.0,23347200.0,25774080.0,19083264.0
Trace,33677312.0,32874496.0,32819200.0,33140736.0,33083392.0,38479872.0,27758592.0
TwoLeadECG,19150848.0,17844224.0,17852416.0,18249728.0,17551360.0,18409472.0,17500160.0
UWaveGestureLibraryZ,164390912.0,162766848.0,164210688.0,164233216.0,161216512.0,163168256.0,163239936.0
Wafer,114098176.0,113467392.0,114864128.0,110360576.0,116062208.0,120217600.0,116228096.0
Wine,33603584.0,30482432.0,30623744.0,32378880.0,33085440.0,32718848.0,26449920.0
WordSynonyms,71321600.0,79386624.0,63004672.0,60631040.0,64317440.0,68966400.0,59222016.0
Worms,56426496.0,59066368.0,58912768.0,60311552.0,60446720.0,60192768.0,62087168.0
WormsTwoClass,56446976.0,57298944.0,57169920.0,59303936.0,60329984.0,58390528.0,65083392.0
Yoga,74436608.0,68433920.0,68352000.0,69308416.0,70592512.0,70750208.0,59867136.0
