Experiment,Runtime
ACSF1Experiment,82.41800000000000
AdiacExperiment,299.45800000000000
ArrowHeadExperiment,15.718
BMEExperiment,11.416
BeefExperiment,15.254
BeetleFlyExperiment,14.560000000000000
BirdChickenExperiment,13.214000000000000
CBFExperiment,11.586
CarExperiment,17.454
ToeSegmentation1Experiment,13.252
ToeSegmentation2Experiment,11.556000000000000
TraceExperiment,19.996000000000000
TwoLeadECGExperiment,9.768
UWaveGestureLibraryZExperiment,860.208
WaferExperiment,382.954
WineExperiment,15.728
WordSynonymsExperiment,135.722
WormsExperiment,125.18200000000000
WormsTwoClassExperiment,119.452
YogaExperiment,181.228
Stc no ea 2k,117.8062
