Experiment,Runtime
ACSF1Experiment,79.522
AdiacExperiment,314.922
ArrowHeadExperiment,13.356
BMEExperiment,11.736
BeefExperiment,13.912
BeetleFlyExperiment,12.290000000000000
BirdChickenExperiment,11.460000000000000
CBFExperiment,12.478
CarExperiment,17.292000000000000
ToeSegmentation1Experiment,14.462
ToeSegmentation2Experiment,11.9
TraceExperiment,20.124000000000000
TwoLeadECGExperiment,11.060000000000000
UWaveGestureLibraryZExperiment,805.3400000000000
WaferExperiment,292.438
WineExperiment,15.508000000000000
WordSynonymsExperiment,132.39000000000000
WormsExperiment,122.644
WormsTwoClassExperiment,116.758
YogaExperiment,186.852
2000,110.822
