Experiment,Runtime
ACSF1Experiment,471.654
AdiacExperiment,338.132
ArrowHeadExperiment,30.212
BMEExperiment,22.862000000000000
BeefExperiment,39.782
BeetleFlyExperiment,43.042
BirdChickenExperiment,37.36
CBFExperiment,24.286
CarExperiment,65.06
ToeSegmentation1Experiment,35.916000000000000
ToeSegmentation2Experiment,40.05
TraceExperiment,65.506
TwoLeadECGExperiment,23.456
UWaveGestureLibraryZExperiment,1219.9285714285700
WaferExperiment,352.992
WineExperiment,32.116
WordSynonymsExperiment,221.324
WormsExperiment,715.3520000000000
WormsTwoClassExperiment,734.516
YogaExperiment,331.974
Wasser 20k,242.276028571429
