Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,4.0,5.0,6.0,3.0,2.0,7.0,1.0
Adiac,5.0,2.0,4.0,3.0,6.0,7.0,1.0
ArrowHead,6.0,2.0,4.0,3.0,5.0,7.0,1.0
BME,5.0,2.0,3.0,4.0,6.0,7.0,1.0
Beef,4.0,3.0,2.0,5.0,6.0,7.0,1.0
BeetleFly,3.0,7.0,5.0,4.0,2.0,6.0,1.0
BirdChicken,6.0,2.0,3.0,5.0,4.0,7.0,1.0
CBF,5.0,2.0,3.0,4.0,6.0,7.0,1.0
Car,7.0,2.0,3.0,4.0,5.0,6.0,1.0
ChlorineConcentration,6.0,2.0,3.0,7.0,4.0,5.0,1.0
CinCECGTorso,2.0,3.0,5.0,6.0,4.0,7.0,1.0
Coffee,1.0,2.0,5.0,3.0,4.0,7.0,6.0
Computers,3.0,2.0,6.0,7.0,4.0,5.0,1.0
CricketX,6.0,2.0,4.0,3.0,7.0,5.0,1.0
CricketY,4.0,2.0,5.0,3.0,6.0,7.0,1.0
CricketZ,4.0,2.0,3.0,5.0,6.0,7.0,1.0
Crop,2.0,3.0,4.0,5.0,7.0,6.0,1.0
DistalPhalanxOutlineAgeGroup,4.0,5.0,7.0,6.0,1.0,3.0,2.0
DistalPhalanxOutlineCorrect,7.0,2.0,3.0,4.0,5.0,6.0,1.0
DistalPhalanxTW,2.0,5.0,7.0,6.0,1.0,4.0,3.0
ECG200,5.0,2.0,4.0,3.0,6.0,7.0,1.0
ECG5000,2.0,3.0,5.0,7.0,6.0,4.0,1.0
ECGFiveDays,2.0,3.0,4.0,6.0,5.0,7.0,1.0
EOGHorizontalSignal,2.0,3.0,4.0,5.0,6.0,7.0,1.0
EOGVerticalSignal,2.0,3.0,5.0,4.0,6.0,7.0,1.0
EthanolLevel,2.0,5.0,6.0,3.0,1.0,4.0,7.0
FaceAll,3.0,2.0,5.0,4.0,7.0,6.0,1.0
FacesUCR,2.0,3.0,5.0,4.0,6.0,7.0,1.0
Fish,6.0,1.0,2.0,5.0,4.0,7.0,3.0
FordA,3.0,2.0,1.0,4.0,6.0,5.0,7.0
FordB,7.0,1.0,3.0,6.0,4.0,2.0,5.0
FreezerRegularTrain,7.0,4.0,3.0,5.0,6.0,2.0,1.0
FreezerSmallTrain,2.0,4.0,3.0,6.0,5.0,7.0,1.0
GunPoint,5.0,2.0,4.0,3.0,6.0,7.0,1.0
GunPointAgeSpan,4.0,2.0,6.0,7.0,3.0,5.0,1.0
GunPointMaleVersusFemale,7.0,2.0,4.0,5.0,3.0,6.0,1.0
GunPointOldVersusYoung,3.0,2.0,5.0,4.0,6.0,7.0,1.0
Ham,4.0,2.0,3.0,5.0,7.0,6.0,1.0
HandOutlines,6.0,2.0,5.0,4.0,1.0,3.0,7.0
Haptics,7.0,2.0,4.0,3.0,5.0,6.0,1.0
Herring,2.0,4.0,5.0,6.0,3.0,7.0,1.0
InlineSkate,6.0,2.0,3.0,4.0,7.0,5.0,1.0
InsectEPGRegularTrain,7.0,2.0,3.0,4.0,5.0,6.0,1.0
InsectWingbeatSound,2.0,3.0,4.0,5.0,6.0,7.0,1.0
ItalyPowerDemand,7.0,2.0,3.0,4.0,5.0,6.0,1.0
LargeKitchenAppliances,7.0,3.0,5.0,2.0,4.0,6.0,1.0
Mallat,1.0,2.0,5.0,3.0,6.0,7.0,4.0
Meat,6.0,2.0,3.0,4.0,1.0,7.0,5.0
MedicalImages,3.0,1.0,6.0,4.0,5.0,7.0,2.0
MiddlePhalanxOutlineAgeGroup,1.0,3.0,5.0,6.0,7.0,4.0,2.0
MiddlePhalanxOutlineCorrect,5.0,1.0,2.0,4.0,6.0,7.0,3.0
MiddlePhalanxTW,1.0,5.0,4.0,7.0,2.0,6.0,3.0
MixedShapesRegularTrain,2.0,3.0,4.0,7.0,6.0,5.0,1.0
MixedShapesSmallTrain,3.0,2.0,4.0,5.0,6.0,7.0,1.0
MoteStrain,2.0,3.0,5.0,4.0,7.0,6.0,1.0
NonInvasiveFetalECGThorax1,6.0,3.0,1.0,4.0,7.0,2.0,5.0
NonInvasiveFetalECGThorax2,7.0,1.0,2.0,4.0,6.0,5.0,3.0
OSULeaf,2.0,3.0,6.0,4.0,5.0,7.0,1.0
OliveOil,5.0,1.0,2.0,4.0,3.0,7.0,6.0
PhalangesOutlinesCorrect,5.0,1.0,2.0,7.0,6.0,4.0,3.0
Plane,2.0,3.0,5.0,6.0,4.0,7.0,1.0
