Experiment,Runtime
ACSF1Experiment,520.4740000000000
AdiacExperiment,482.776
ArrowHeadExperiment,29.364000000000000
BMEExperiment,22.776
BeefExperiment,40.752000000000000
BeetleFlyExperiment,43.972000000000000
BirdChickenExperiment,37.188
CBFExperiment,21.626
CarExperiment,64.90600000000000
ToeSegmentation1Experiment,37.588
ToeSegmentation2Experiment,39.92
TraceExperiment,67.824
TwoLeadECGExperiment,18.836000000000000
UWaveGestureLibraryZExperiment,2023.3560000000000
WaferExperiment,1374.528
WineExperiment,34.084
WordSynonymsExperiment,273.05
WormsExperiment,765.196
WormsTwoClassExperiment,788.232
YogaExperiment,463.98200000000000
20k,357.5215
