Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
F-Stat,1.0,0.8666155220874215,0.8666155220874215,0.9531983134779556,0.29309019365376177,0.750171810178329,0.0021685110894488335
Info Gain,0.0,1.0,1.0,0.3791561871305173,0.14298959533202832,0.1978761233288766,0.0007385830976186902
Info Gain(no_early_abandon),0.0,0.0,1.0,0.3791561871305173,0.14298959533202832,0.1978761233288766,0.0007385830976186902
Kolmogorov,0.0,0.0,0.0,1.0,0.14341366462221877,0.06104774067066607,0.0021370164778500463
Kruskal Wallis,0.0,0.0,0.0,0.0,1.0,0.37197475744350683,0.01343779583559193
Moods Median,0.0,0.0,0.0,0.0,0.0,1.0,0.016469105864217855
Wasserstein,0.0,0.0,0.0,0.0,0.0,0.0,1.0
