Experiment,Runtime
ACSF1Experiment,485.672
AdiacExperiment,413.446
ArrowHeadExperiment,30.98
BMEExperiment,22.892000000000000
BeefExperiment,43.936
BeetleFlyExperiment,43.894
BirdChickenExperiment,35.884
CBFExperiment,24.662
CarExperiment,62.194
ToeSegmentation1Experiment,38.196
ToeSegmentation2Experiment,39.948
TraceExperiment,66.376
TwoLeadECGExperiment,19.470000000000000
UWaveGestureLibraryZExperiment,1189.368
WaferExperiment,367.32
WineExperiment,35.83
WordSynonymsExperiment,269.788
WormsExperiment,721.496
WormsTwoClassExperiment,720.9860000000000
YogaExperiment,422.284
Kolmogorov 20k,252.7311
