Experiment,Runtime
ACSF1Experiment,82.898
AdiacExperiment,344.38800000000000
ArrowHeadExperiment,12.14
BMEExperiment,11.358
BeefExperiment,16.548000000000000
BeetleFlyExperiment,11.818000000000000
BirdChickenExperiment,11.296000000000000
CBFExperiment,13.434000000000000
CarExperiment,17.380000000000000
ToeSegmentation1Experiment,13.308000000000000
ToeSegmentation2Experiment,13.678
TraceExperiment,23.2
TwoLeadECGExperiment,10.014
UWaveGestureLibraryZExperiment,813.0320000000000
WaferExperiment,305.9
WineExperiment,16.558
WordSynonymsExperiment,153.12
WormsExperiment,126.28800000000000
WormsTwoClassExperiment,120.648
YogaExperiment,174.538
Mm 2k,114.5772
