Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
F-Stat,1.0,0.869450569152832,0.869450569152832,0.7954511642456055,0.9958457946777344,0.6219167709350586,0.03792572021484375
Info Gain,0.0,1.0,1.0,0.4636392593383789,0.9800052642822266,0.7847833633422852,0.004717826843261719
Info Gain(no_early_abandon),0.0,0.0,1.0,0.4636392593383789,0.9800052642822266,0.7847833633422852,0.004717826843261719
Kolmogorov,0.0,0.0,0.0,1.0,0.8350086212158203,0.6628885269165039,0.014787673950195312
Kruskal Wallis,0.0,0.0,0.0,0.0,1.0,0.0412750244140625,0.0005083084106445312
Moods Median,0.0,0.0,0.0,0.0,0.0,1.0,0.0015764236450195312
Wasserstein,0.0,0.0,0.0,0.0,0.0,0.0,1.0
