Experiment,Runtime
ACSF1Experiment,391.704
AdiacExperiment,451.816
ArrowHeadExperiment,22.338
BMEExperiment,16.264
BeefExperiment,32.102
BeetleFlyExperiment,32.352
BirdChickenExperiment,28.032
CBFExperiment,18.252
CarExperiment,49.834000000000000
ToeSegmentation1Experiment,27.484
ToeSegmentation2Experiment,31.754
TraceExperiment,52.122
TwoLeadECGExperiment,14.02
UWaveGestureLibraryZExperiment,1159.5460000000000
WaferExperiment,372.136
WineExperiment,26.228000000000000
WordSynonymsExperiment,233.294
WormsExperiment,586.134
WormsTwoClassExperiment,598.312
YogaExperiment,372.98400000000000
8k,225.835
