Experiment,Runtime
ACSF1Experiment,930.506
AdiacExperiment,558.296
ArrowHeadExperiment,39.544
BMEExperiment,26.118000000000000
BeefExperiment,56.304000000000000
BeetleFlyExperiment,62.65
BirdChickenExperiment,55.274
CBFExperiment,27.868000000000000
CarExperiment,104.674
ToeSegmentation1Experiment,51.74400000000000
ToeSegmentation2Experiment,61.726
TraceExperiment,106.58600000000000
TwoLeadECGExperiment,23.174
UWaveGestureLibraryZExperiment,1515.0133333333300
WaferExperiment,496.84800000000000
WineExperiment,40.688
WordSynonymsExperiment,368.092
WormsExperiment,1350.104
WormsTwoClassExperiment,1412.366
YogaExperiment,657.51
20k,397.254266666667
