Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
F-Stat,1.0,1.0,0.9998025894165039,0.8919162750244141,0.9513463973999023,0.7147016525268555,0.0031948089599609375
Info Gain,0.0,1.0,0.9998025894165039,0.8919162750244141,0.9513463973999023,0.7147016525268555,0.0031948089599609375
Info Gain(no_early_abandon),0.0,0.0,1.0,0.07145309448242188,0.06154632568359375,0.0347900390625,1.33514404296875e-05
Kolmogorov,0.0,0.0,0.0,1.0,0.6219167709350586,0.5508413314819336,0.0004253387451171875
Kruskal Wallis,0.0,0.0,0.0,0.0,1.0,0.2979097366333008,0.00024127960205078125
Moods Median,0.0,0.0,0.0,0.0,0.0,1.0,0.0005083084106445312
Wasserstein,0.0,0.0,0.0,0.0,0.0,0.0,1.0
