Experiment,Runtime
ACSF1Experiment,232.888
AdiacExperiment,377.03200000000000
ArrowHeadExperiment,21.978
BMEExperiment,12.23
BeefExperiment,26.272000000000000
BeetleFlyExperiment,25.794
BirdChickenExperiment,19.966
CBFExperiment,13.486
CarExperiment,33.82
ToeSegmentation1Experiment,22.588
ToeSegmentation2Experiment,21.31
TraceExperiment,38.536
TwoLeadECGExperiment,13.634
UWaveGestureLibraryZExperiment,1294.816
WaferExperiment,775.266
WineExperiment,22.034
WordSynonymsExperiment,195.46600000000000
WormsExperiment,339.23
WormsTwoClassExperiment,347.44
YogaExperiment,278.934
8k,205.636
