Experiment,Runtime
ACSF1Experiment,240.01800000000000
AdiacExperiment,452.334
ArrowHeadExperiment,19.766
BMEExperiment,13.056000000000000
BeefExperiment,23.796
BeetleFlyExperiment,23.868000000000000
BirdChickenExperiment,19.898000000000000
CBFExperiment,14.406
CarExperiment,34.480000000000000
ToeSegmentation1Experiment,24.244
ToeSegmentation2Experiment,24.498000000000000
TraceExperiment,41.996
TwoLeadECGExperiment,13.690000000000000
UWaveGestureLibraryZExperiment,973.716
WaferExperiment,303.78600000000000
WineExperiment,23.418
WordSynonymsExperiment,226.79000000000000
WormsExperiment,343.938
WormsTwoClassExperiment,340.79
YogaExperiment,276.908
Mm 8k,171.7698
