Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
F-Stat,1.0,0.9843753595351603,0.9843753595351603,0.8927313176397463,0.9736878290723245,0.8254490276786378,0.004451692557940693
Info Gain,0.0,1.0,1.0,0.42231424053564814,0.21737808587921603,0.1978761233288766,0.00048366723622088505
Info Gain(no_early_abandon),0.0,0.0,1.0,0.42231424053564814,0.21737808587921603,0.1978761233288766,0.00048366723622088505
Kolmogorov,0.0,0.0,0.0,1.0,0.6387186147146212,0.3437044346894548,0.0021370164778500463
Kruskal Wallis,0.0,0.0,0.0,0.0,1.0,0.27701692923221755,0.0012715577120306482
Moods Median,0.0,0.0,0.0,0.0,0.0,1.0,0.0027456028472774194
Wasserstein,0.0,0.0,0.0,0.0,0.0,0.0,1.0
