Experiment,Runtime
ACSF1Experiment,224.558
AdiacExperiment,407.28000000000000
ArrowHeadExperiment,19.334
BMEExperiment,12.172
BeefExperiment,23.546
BeetleFlyExperiment,22.822
BirdChickenExperiment,17.896000000000000
CBFExperiment,13.854000000000000
CarExperiment,34.406
ToeSegmentation1Experiment,23.98
ToeSegmentation2Experiment,19.156
TraceExperiment,36.89
TwoLeadECGExperiment,13.232
UWaveGestureLibraryZExperiment,946.402
WaferExperiment,332.144
WineExperiment,24.118000000000000
WordSynonymsExperiment,169.352
WormsExperiment,338.828
WormsTwoClassExperiment,334.924
YogaExperiment,286.682
8000,165.0788
