Estimators:,F-Stat,Info Gain,Info Gain(no_early_abandon),Kolmogorov,Kruskal Wallis,Moods Median,Wasserstein
ACSF1,5179.5,5261.0,5263.0,4980.0,4813.5,5991.0,3482.0
Adiac,12136.5,11110.5,11186.5,12051.0,13191.0,13994.5,10876.5
ArrowHead,1051.0,1262.0,959.0,1141.5,1148.5,1480.0,691.5
BME,741.5,692.0,679.5,787.5,726.5,788.0,451.0
Beef,593.0,667.5,671.5,781.5,722.0,850.5,282.5
BeetleFly,514.0,490.5,479.0,515.0,531.0,512.5,276.5
BirdChicken,483.5,410.5,435.0,462.0,461.0,492.5,202.0
CBF,2020.0,1987.5,1915.0,2022.5,2049.0,2784.5,1627.5
Car,979.0,835.0,791.5,866.5,941.5,977.0,705.0
ToeSegmentation1,1763.0,1860.5,1881.0,1916.0,1830.0,1948.5,1073.5
ToeSegmentation2,1116.0,1157.0,1168.5,1265.5,1186.5,1273.5,725.5
Trace,1655.5,1679.0,1617.5,1700.0,1766.5,2281.5,1254.0
TwoLeadECG,1944.5,1937.0,1940.0,2236.5,1884.5,2218.0,1728.0
UWaveGestureLibraryZ,197563.5,198996.0,193439.0,209638.0,205530.5,203208.0,205687.0
Wafer,181558.0,191410.0,172354.5,188296.0,187462.5,191013.0,180864.0
Wine,1148.0,1057.0,1076.5,1166.0,1268.0,1280.0,819.5
WordSynonyms,12619.0,12158.0,11907.0,13190.5,12679.0,13966.5,12027.5
Worms,6347.0,6345.5,6149.5,6529.0,6336.5,6386.0,6544.0
WormsTwoClass,6207.0,6259.5,6399.0,6212.0,6348.5,6888.5,6561.5
Yoga,97747.0,88625.5,93976.5,87376.0,96756.0,91726.5,70866.5
