Experiment,Runtime
ACSF1Experiment,204.072
AdiacExperiment,291.92600000000000
ArrowHeadExperiment,17.19
BMEExperiment,14.534
BeefExperiment,17.742
BeetleFlyExperiment,21.760000000000000
BirdChickenExperiment,18.752000000000000
CBFExperiment,14.554000000000000
CarExperiment,30.53
ToeSegmentation1Experiment,22.448
ToeSegmentation2Experiment,21.48
TraceExperiment,36.870000000000000
TwoLeadECGExperiment,12.734
UWaveGestureLibraryZExperiment,938.54
WaferExperiment,293.93200000000000
WineExperiment,18.712
WordSynonymsExperiment,152.424
WormsExperiment,332.07800000000000
WormsTwoClassExperiment,341.898
YogaExperiment,207.382
Wasser 8k,150.4779
