Experiment,Runtime
ACSF1Experiment,87.488
AdiacExperiment,304.584
ArrowHeadExperiment,21.176
BMEExperiment,11.244
BeefExperiment,22.19
BeetleFlyExperiment,19.412
BirdChickenExperiment,15.894
CBFExperiment,11.386
CarExperiment,17.426
ToeSegmentation1Experiment,13.432000000000000
ToeSegmentation2Experiment,11.622
TraceExperiment,19.054
TwoLeadECGExperiment,10.698
UWaveGestureLibraryZExperiment,896.5220000000000
WaferExperiment,421.79200000000000
WineExperiment,17.098
WordSynonymsExperiment,140.164
WormsExperiment,126.53800000000000
WormsTwoClassExperiment,119.266
YogaExperiment,174.632
Stc 2k,123.0809
